Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2011-02-16,75.9600,0.0000,1.0000,0.0000,1.0000
2011-02-17,76.1400,0.0000,1.0000,0.0000,1.0000
2011-02-18,75.8300,0.0000,1.0000,0.0000,1.0000
2011-02-22,73.7400,0.0000,1.0000,0.0000,1.0000
2011-02-23,72.8800,0.0000,1.0000,0.0000,1.0000
2011-02-24,73.9100,0.0000,1.0000,0.0000,1.0000
2011-02-25,74.6800,0.0000,1.0000,0.0000,1.0000
2011-02-28,73.0500,0.0000,1.0000,0.0000,1.0000
2011-03-01,72.7000,0.0000,1.0000,0.0000,1.0000
2011-03-02,73.9700,0.0000,1.0000,0.0000,1.0000
2011-03-03,75.8300,0.0000,1.0000,0.0000,1.0000
2011-03-04,74.6900,0.0000,1.0000,0.0000,1.0000
2011-03-07,74.1500,0.0000,1.0000,0.0000,1.0000
2011-03-08,74.1700,0.0000,1.0000,0.0000,1.0000
2011-03-09,73.7100,0.0000,1.0000,0.0000,1.0000
2011-03-10,71.4000,0.0000,1.0000,0.0000,1.0000
2011-03-11,72.5100,0.0000,1.0000,0.0000,1.0000
2011-03-14,71.8600,0.0000,1.0000,0.0000,1.0000
2011-03-15,71.2000,0.0000,1.0000,0.0000,1.0000
2011-03-16,70.9600,0.0000,1.0000,0.0000,1.0000
2011-03-17,71.4300,0.0000,1.0000,0.0000,1.0000
2011-03-18,71.4200,0.0000,1.0000,0.0000,1.0000
2011-03-21,71.9600,0.0000,1.0000,0.0000,1.0000
2011-03-22,71.6000,0.0000,1.0000,0.0000,1.0000
2011-03-23,71.9900,0.0000,1.0000,0.0000,1.0000
2011-03-24,72.6600,0.0000,1.0000,0.0000,1.0000
2011-03-25,72.0900,0.0000,1.0000,0.0000,1.0000
2011-03-28,72.7500,0.0000,1.0000,0.0000,1.0000
2011-03-29,72.2000,0.0000,1.0000,0.0000,1.0000
2011-03-30,74.2300,0.0000,1.0000,0.0000,1.0000
2011-03-31,73.6200,0.0000,1.0000,0.0000,1.0000
2011-04-01,74.2200,0.0000,1.0000,0.0000,1.0000
2011-04-04,75.2400,0.0000,1.0000,0.0000,1.0000
2011-04-05,75.6200,0.0000,1.0000,0.0000,1.0000
2011-04-06,76.0000,0.0000,1.0000,0.0000,1.0000
